Ticker,Sector,Price,StormScore,Shakeout,Ret5,RangePos,RSI,Resid21,PeerCatchup,LowerBB,Range21,VolRatio,AboveMA50,Piotroski,Quality,ShortPctFloat,SuggestedStop,Regime
UPST,Financial Services,25.1,0.819,4.0,-0.11991584300994873,0.0008467593579553068,20.58824920654297,-0.12229034304618835,0.0,-0.010339558124542236,0.2674371898174286,0.7808777689933777,False,2,weak,0.305,23.09,reversal
NMRK,Real Estate,14.17,0.817,4.0,-0.049949705600738525,0.04813598841428757,25.242721557617188,3.4593045711517334e-05,0.04998429864645004,-0.35343024134635925,0.167909175157547,0.9714550971984863,False,5,ok,0.0388,13.04,reversal
DIN,Consumer Cyclical,28.23,0.816,4.0,-0.1224743127822876,0.006622457876801491,9.314727783203125,-0.14932450652122498,0.0,-0.006187214981764555,0.3216187357902527,0.764579176902771,False,4,ok,0.1449,25.97,reversal
LGIH,Consumer Cyclical,48.7,0.815,4.0,-0.10592985153198242,0.014044944196939468,19.28569793701172,-0.06749781221151352,0.0,0.23246487975120544,0.25283798575401306,0.7701132893562317,False,2,weak,0.2129,44.8,reversal
MCFT,Consumer Cyclical,20.57,0.815,3.0,-0.11830264329910278,0.02237507328391075,17.004051208496094,-0.0922742709517479,0.0,0.36310961842536926,0.27054786682128906,1.4802062511444092,False,2,weak,0.0518,18.92,reversal
STRO,Healthcare,17.83,0.814,4.0,-0.13193774223327637,0.015179114416241646,24.961013793945312,-0.14524371922016144,0.0,0.0433882474899292,0.3339022099971771,0.521241307258606,False,1,weak,0.1095,16.4,reversal
IBP,Consumer Cyclical,201.72,0.813,3.0,-0.15136724710464478,0.04057063162326813,16.614837646484375,-0.09309103339910507,0.0,0.5534005761146545,0.2704355716705322,1.1309700012207031,False,5,ok,0.0994,185.58,reversal
LI,Consumer Cyclical,11.65,0.81,5.0,-0.033996760845184326,0.010090725496411324,24.074066162109375,0.010856784880161285,0.04485354572534561,-0.4043998420238495,0.13425132632255554,0.853654146194458,False,2,weak,0.0557,10.72,reversal
SYK,Healthcare,270.01,0.807,3.0,-0.12331563234329224,0.004465844482183456,13.81787109375,-0.2046767622232437,0.0,-0.19704072177410126,0.28556591272354126,1.1010234355926514,False,3,weak,0.0208,248.41,reversal
RBA,Industrials,80.54,0.806,5.0,-0.032784879207611084,0.02118600904941559,25.165077209472656,0.006028696894645691,0.038813576102256775,-0.302371084690094,0.10773546993732452,0.38261982798576355,False,5,ok,0.1054,74.1,reversal
BEAM,Healthcare,24.37,0.806,4.0,-0.17277657985687256,0.027311017736792564,29.059829711914062,-0.06994052231311798,0.0,-0.06763312220573425,0.3127606511116028,0.8499007821083069,False,2,weak,0.3862,22.42,reversal
LVS,Consumer Cyclical,42.6,0.803,5.0,-0.04291170835494995,0.05307546257972717,22.620506286621094,0.009189046919345856,0.05210075527429581,-0.39440059661865234,0.12799808382987976,0.8996708393096924,False,5,ok,0.1394,39.19,reversal
WSE,Technology,12.02,0.803,4.0,-0.08939391374588013,0.46925589442253113,28.448272705078125,0.02896849811077118,0.1183624118566513,0.016559114679694176,0.15274256467819214,0.6649298071861267,False,3,weak,,11.06,reversal
